127.0.0.1 - - [21/Mar/2022:21:03:47 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:03:57 +0700] "GET /assm-user/Home HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:03:58 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:04:13 +0700] "GET /assm-user/Favorite HTTP/1.1" 200 3492
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:04:15 +0700] "GET /assm-user/Login HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:04:21 +0700] "GET /assm-user/ForgotPassword HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:04:24 +0700] "GET /assm-user/Registration HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:04:28 +0700] "GET /assm-user/Home HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:04:31 +0700] "GET /assm-user/detail/https://www.youtube.com/embed/Ci6lMQNLKZU HTTP/1.1" 200 11959
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:04:45 +0700] "GET /assm-user/ShareVideo?videoId=https://www.youtube.com/embed/Ci6lMQNLKZU HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:04:45 +0700] "GET /assm-user/Login HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:04:58 +0700] "GET /assm-user/Home HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:12:19 +0700] "GET /assm-user/Home HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:12:44 +0700] "GET /assm-user/Home HTTP/1.1" 200 11132
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:12:45 +0700] "GET /assm-user/upload/logo.png HTTP/1.1" 200 3926
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:13:25 +0700] "GET /assm-user/Home HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:13:27 +0700] "GET /assm-user/Login HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:13:38 +0700] "GET /assm-user/ForgotPassword HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:13:50 +0700] "GET /assm-user/Registration HTTP/1.1" 200 4169
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:13:58 +0700] "GET /assm-user/Home HTTP/1.1" 200 10780
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:14:06 +0700] "GET /assm-user/detail/https://www.youtube.com/embed/Ci6lMQNLKZU HTTP/1.1" 200 11959
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:14:24 +0700] "GET /assm-user/ShareVideo?videoId=https://www.youtube.com/embed/Ci6lMQNLKZU HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:14:24 +0700] "GET /assm-user/Login HTTP/1.1" 200 4120
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:14:29 +0700] "POST /assm-user/Login HTTP/1.1" 200 10781
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:14:32 +0700] "GET /assm-user/ShareVideo?videoId=https://www.youtube.com/embed/Ci6lMQNLKZU HTTP/1.1" 200 1524
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:15:27 +0700] "GET /assm-user/HomeAdmin HTTP/1.1" 200 3107
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:15:28 +0700] "GET /assm-user/js/script.js HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:15:32 +0700] "GET /assm-user/video HTTP/1.1" 200 10391
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:15:32 +0700] "GET /assm-user/views/admin/js/script.js HTTP/1.1" 200 691
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:15:37 +0700] "GET /assm-user/video/edit/https://www.youtube.com/embed/Ci6lMQNLKZU HTTP/1.1" 200 10942
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:15:53 +0700] "GET /assm-user/user HTTP/1.1" 200 8493
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:15:56 +0700] "GET /assm-user/video HTTP/1.1" 200 10391
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:16:04 +0700] "GET /assm-user/user HTTP/1.1" 200 8493
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:16:07 +0700] "GET /assm-user/Report HTTP/1.1" 200 8930
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:16:10 +0700] "GET /assm-user/user HTTP/1.1" 200 8493
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:16:16 +0700] "GET /assm-user/user/edit/aquaman HTTP/1.1" 200 8526
0:0:0:0:0:0:0:1 - - [21/Mar/2022:21:16:22 +0700] "GET /assm-user/Report HTTP/1.1" 200 8930
